Q vs Qb X,Q vs Qb Y,Qb vs Q X,Qb vs Q Y,/Qb X,/Qb Y
0,1.799999950814309,1.799999950814309,0,0,0
0.01,1.799999945612264,1.799999945612264,0.01,0.01,0.01
0.02,1.799999938419913,1.799999938419913,0.02,0.02,0.02
0.03,1.79999992845048,1.79999992845048,0.03,0.03,0.03
0.04,1.799999914606529,1.799999914606529,0.04,0.04,0.04
0.05,1.799999895357904,1.799999895357904,0.05,0.05,0.05
0.06,1.799999868572138,1.799999868572138,0.06,0.06,0.06
0.07000000000000001,1.799999831279091,1.799999831279091,0.07000000000000001,0.07000000000000001,0.07000000000000001
0.08,1.799999779344779,1.799999779344779,0.08,0.08,0.08
0.09,1.799999707020113,1.799999707020113,0.09,0.09,0.09
0.09999999999999999,1.799999606317802,1.799999606317802,0.09999999999999999,0.09999999999999999,0.09999999999999999
0.11,1.799999466153988,1.799999466153988,0.11,0.11,0.11
0.12,1.799999271169021,1.799999271169021,0.12,0.12,0.12
0.13,1.799999000112627,1.799999000112627,0.13,0.13,0.13
0.14,1.799998623640874,1.799998623640874,0.14,0.14,0.14
0.15,1.799998101323874,1.799998101323874,0.15,0.15,0.15
0.16,1.799997377602228,1.799997377602228,0.16,0.16,0.16
0.17,1.799996376355262,1.799996376355262,0.17,0.17,0.17
0.18,1.799994993654427,1.799994993654427,0.18,0.18,0.18
0.19,1.799993088171582,1.799993088171582,0.19,0.19,0.19
0.2,1.799990468597337,1.799990468597337,0.2,0.2,0.2
0.21,1.799986877305564,1.799986877305564,0.21,0.21,0.21
0.2200000000000001,1.799981969386478,1.799981969386478,0.2200000000000001,0.2200000000000001,0.2200000000000001
0.2300000000000001,1.799975286075904,1.799975286075904,0.2300000000000001,0.2300000000000001,0.2300000000000001
0.2400000000000001,1.799966221547114,1.799966221547114,0.2400000000000001,0.2400000000000001,0.2400000000000001
0.2500000000000001,1.79995398201553,1.79995398201553,0.2500000000000001,0.2500000000000001,0.2500000000000001
0.2600000000000001,1.799937536136287,1.799937536136287,0.2600000000000001,0.2600000000000001,0.2600000000000001
0.2700000000000001,1.799915555730219,1.799915555730219,0.2700000000000001,0.2700000000000001,0.2700000000000001
0.2800000000000001,1.799886345905323,1.799886345905323,0.2800000000000001,0.2800000000000001,0.2800000000000001
0.2900000000000001,1.799847763566078,1.799847763566078,0.2900000000000001,0.2900000000000001,0.2900000000000001
0.3000000000000001,1.799797123020148,1.799797123020148,0.3000000000000001,0.3000000000000001,0.3000000000000001
0.3100000000000001,1.799731086812899,1.799731086812899,0.3100000000000001,0.3100000000000001,0.3100000000000001
0.3200000000000001,1.799645539027605,1.799645539027605,0.3200000000000001,0.3200000000000001,0.3200000000000001
0.3300000000000001,1.799535437202031,1.799535437202031,0.3300000000000001,0.3300000000000001,0.3300000000000001
0.3400000000000001,1.79939463803337,1.79939463803337,0.3400000000000001,0.3400000000000001,0.3400000000000001
0.3500000000000001,1.799215691657386,1.799215691657386,0.3500000000000001,0.3500000000000001,0.3500000000000001
0.3600000000000002,1.798989600081027,1.798989600081027,0.3600000000000002,0.3600000000000002,0.3600000000000002
0.3700000000000002,1.798705537862973,1.798705537862973,0.3700000000000002,0.3700000000000002,0.3700000000000002
0.3800000000000002,1.798350537689408,1.798350537689408,0.3800000000000002,0.3800000000000002,0.3800000000000002
0.3900000000000002,1.797909150006516,1.797909150006516,0.3900000000000002,0.3900000000000002,0.3900000000000002
0.4000000000000002,1.797363093770848,1.797363093770848,0.4000000000000002,0.4000000000000002,0.4000000000000002
0.4100000000000002,1.796690923553991,1.796690923553991,0.4100000000000002,0.4100000000000002,0.4100000000000002
0.4200000000000002,1.79586774509751,1.79586774509751,0.4200000000000002,0.4200000000000002,0.4200000000000002
0.4300000000000002,1.794865015043936,1.794865015043936,0.4300000000000002,0.4300000000000002,0.4300000000000002
0.4400000000000002,1.793650459042553,1.793650459042553,0.4400000000000002,0.4400000000000002,0.4400000000000002
0.4500000000000002,1.792188134280431,1.792188134280431,0.4500000000000002,0.4500000000000002,0.4500000000000002
0.4600000000000002,1.790438647298259,1.790438647298259,0.4600000000000002,0.4600000000000002,0.4600000000000002
0.4700000000000003,1.788359516835371,1.788359516835371,0.4700000000000003,0.4700000000000003,0.4700000000000003
0.4800000000000003,1.785905647217765,1.785905647217765,0.4800000000000003,0.4800000000000003,0.4800000000000003
0.4900000000000003,1.783029854535317,1.783029854535317,0.4900000000000003,0.4900000000000003,0.4900000000000003
0.5000000000000002,1.779683369889166,1.779683369889166,0.5000000000000002,0.5000000000000002,0.5000000000000002
0.5100000000000002,1.775816234596099,1.775816234596099,0.5100000000000002,0.5100000000000002,0.5100000000000002
0.5200000000000002,1.771377502442814,1.771377502442814,0.5200000000000002,0.5200000000000002,0.5200000000000002
0.5300000000000002,1.766315172137254,1.766315172137254,0.5300000000000002,0.5300000000000002,0.5300000000000002
0.5400000000000003,1.760575784755631,1.760575784755631,0.5400000000000003,0.5400000000000003,0.5400000000000003
0.5500000000000003,1.754103630374242,1.754103630374242,0.5500000000000003,0.5500000000000003,0.5500000000000003
0.5600000000000003,1.746839508721488,1.746839508721488,0.5600000000000003,0.5600000000000003,0.5600000000000003
0.5700000000000003,1.738718973933665,1.738718973933665,0.5700000000000003,0.5700000000000003,0.5700000000000003
0.5800000000000003,1.729669955922403,1.729669955922403,0.5800000000000003,0.5800000000000003,0.5800000000000003
0.5900000000000003,1.719609580129554,1.719609580129554,0.5900000000000003,0.5900000000000003,0.5900000000000003
0.6000000000000003,1.708439885860303,1.708439885860303,0.6000000000000003,0.6000000000000003,0.6000000000000003
0.6100000000000003,1.696041937168455,1.696041937168455,0.6100000000000003,0.6100000000000003,0.6100000000000003
0.6200000000000003,1.682267461591463,1.682267461591463,0.6200000000000003,0.6200000000000003,0.6200000000000003
0.6300000000000003,1.66692649889381,1.66692649889381,0.6300000000000003,0.6300000000000003,0.6300000000000003
0.6400000000000003,1.649768280950638,1.649768280950638,0.6400000000000003,0.6400000000000003,0.6400000000000003
0.6500000000000004,1.630449953530515,1.630449953530515,0.6500000000000004,0.6500000000000004,0.6500000000000004
0.6600000000000004,1.608481875061696,1.608481875061696,0.6600000000000004,0.6600000000000004,0.6600000000000004
0.6700000000000004,1.583123550430071,1.583123550430071,0.6700000000000004,0.6700000000000004,0.6700000000000004
0.6800000000000004,1.55316230769013,1.55316230769013,0.6800000000000004,0.6800000000000004,0.6800000000000004
0.6900000000000004,1.516362967338571,1.516362967338571,0.6900000000000004,0.6900000000000004,0.6900000000000004
0.7000000000000004,1.467739066757958,1.467739066757958,0.7000000000000004,0.7000000000000004,0.7000000000000004
0.7100000000000004,1.390727306750481,1.390727306750481,0.7100000000000004,0.7100000000000004,0.7100000000000004
0.7200000000000004,1.225276500494192,1.225276500494192,0.7200000000000004,0.7200000000000004,0.7200000000000004
0.7300000000000004,0.963775435061621,0.963775435061621,0.7300000000000004,0.7300000000000004,0.7300000000000004
0.7400000000000004,0.6925681891312044,0.6925681891312044,0.7400000000000004,0.7400000000000004,0.7400000000000004
0.7500000000000004,0.4672686669934245,0.4672686669934245,0.7500000000000004,0.7500000000000004,0.7500000000000004
0.7600000000000005,0.3147435370298819,0.3147435370298819,0.7600000000000005,0.7600000000000005,0.7600000000000005
0.7700000000000005,0.2315130854216156,0.2315130854216156,0.7700000000000005,0.7700000000000005,0.7700000000000005
0.7800000000000005,0.1892759064800867,0.1892759064800867,0.7800000000000005,0.7800000000000005,0.7800000000000005
0.7900000000000005,0.162797625928258,0.162797625928258,0.7900000000000005,0.7900000000000005,0.7900000000000005
0.8000000000000005,0.1437482942230842,0.1437482942230842,0.8000000000000005,0.8000000000000005,0.8000000000000005
0.8100000000000005,0.1286919022837266,0.1286919022837266,0.8100000000000005,0.8100000000000005,0.8100000000000005
0.8200000000000005,0.1162692871173762,0.1162692871173762,0.8200000000000005,0.8200000000000005,0.8200000000000005
0.8300000000000005,0.1057191355496273,0.1057191355496273,0.8300000000000005,0.8300000000000005,0.8300000000000005
0.8400000000000005,0.09657628336737559,0.09657628336737559,0.8400000000000005,0.8400000000000005,0.8400000000000005
0.8500000000000005,0.08853455416885535,0.08853455416885535,0.8500000000000005,0.8500000000000005,0.8500000000000005
0.8600000000000005,0.08138074572722957,0.08138074572722957,0.8600000000000005,0.8600000000000005,0.8600000000000005
0.8700000000000006,0.07495983423572801,0.07495983423572801,0.8700000000000006,0.8700000000000006,0.8700000000000006
0.8800000000000006,0.06915519987313989,0.06915519987313989,0.8800000000000006,0.8800000000000006,0.8800000000000006
0.8900000000000006,0.06387668293444393,0.06387668293444393,0.8900000000000006,0.8900000000000006,0.8900000000000006
0.9000000000000006,0.05905300267765282,0.05905300267765282,0.9000000000000006,0.9000000000000006,0.9000000000000006
0.9100000000000006,0.05462674424872343,0.05462674424872343,0.9100000000000006,0.9100000000000006,0.9100000000000006
0.9200000000000006,0.05055092828222946,0.05055092828222946,0.9200000000000006,0.9200000000000006,0.9200000000000006
0.9300000000000006,0.04678659441310719,0.04678659441310719,0.9300000000000006,0.9300000000000006,0.9300000000000006
0.9400000000000006,0.04330105617050808,0.04330105617050808,0.9400000000000006,0.9400000000000006,0.9400000000000006
0.9500000000000006,0.04006661330324506,0.04006661330324506,0.9500000000000006,0.9500000000000006,0.9500000000000006
0.9600000000000006,0.03705958359798943,0.03705958359798943,0.9600000000000006,0.9600000000000006,0.9600000000000006
0.9700000000000006,0.03425956275522386,0.03425956275522386,0.9700000000000006,0.9700000000000006,0.9700000000000006
0.9800000000000006,0.03164885020827396,0.03164885020827396,0.9800000000000006,0.9800000000000006,0.9800000000000006
0.9900000000000007,0.02921199775496858,0.02921199775496858,0.9900000000000007,0.9900000000000007,0.9900000000000007
1.000000000000001,0.02693545045686045,0.02693545045686045,1.000000000000001,1.000000000000001,1.000000000000001
1.010000000000001,0.02480725778164155,0.02480725778164155,1.010000000000001,1.010000000000001,1.010000000000001
1.020000000000001,0.02281683884262255,0.02281683884262255,1.020000000000001,1.020000000000001,1.020000000000001
1.030000000000001,0.02095478971323343,0.02095478971323343,1.030000000000001,1.030000000000001,1.030000000000001
1.040000000000001,0.01921272373195067,0.01921272373195067,1.040000000000001,1.040000000000001,1.040000000000001
1.050000000000001,0.01758313783413714,0.01758313783413714,1.050000000000001,1.050000000000001,1.050000000000001
1.060000000000001,0.01605929949842979,0.01605929949842979,1.060000000000001,1.060000000000001,1.060000000000001
1.070000000000001,0.01463515004383388,0.01463515004383388,1.070000000000001,1.070000000000001,1.070000000000001
1.080000000000001,0.01330522087551028,0.01330522087551028,1.080000000000001,1.080000000000001,1.080000000000001
1.090000000000001,0.01206455993457386,0.01206455993457386,1.090000000000001,1.090000000000001,1.090000000000001
1.100000000000001,0.01090866611984001,0.01090866611984001,1.100000000000001,1.100000000000001,1.100000000000001
1.110000000000001,0.00983342986213758,0.00983342986213758,1.110000000000001,1.110000000000001,1.110000000000001
1.120000000000001,0.008835078379093822,0.008835078379093822,1.120000000000001,1.120000000000001,1.120000000000001
1.130000000000001,0.007910124447468993,0.007910124447468993,1.130000000000001,1.130000000000001,1.130000000000001
1.140000000000001,0.00705531782283346,0.00705531782283346,1.140000000000001,1.140000000000001,1.140000000000001
1.150000000000001,0.006267598729260595,0.006267598729260595,1.150000000000001,1.150000000000001,1.150000000000001
1.160000000000001,0.005544053145987519,0.005544053145987519,1.160000000000001,1.160000000000001,1.160000000000001
1.170000000000001,0.004881869938499143,0.004881869938499143,1.170000000000001,1.170000000000001,1.170000000000001
1.180000000000001,0.004278300215058849,0.004278300215058849,1.180000000000001,1.180000000000001,1.180000000000001
1.190000000000001,0.003730619623551533,0.003730619623551533,1.190000000000001,1.190000000000001,1.190000000000001
1.200000000000001,0.003236094613964817,0.003236094613964817,1.200000000000001,1.200000000000001,1.200000000000001
1.210000000000001,0.002791953944410721,0.002791953944410721,1.210000000000001,1.210000000000001,1.210000000000001
1.220000000000001,0.002395366860043635,0.002395366860043635,1.220000000000001,1.220000000000001,1.220000000000001
1.230000000000001,0.002043429377608872,0.002043429377608872,1.230000000000001,1.230000000000001,1.230000000000001
1.240000000000001,0.00173315992127843,0.00173315992127843,1.240000000000001,1.240000000000001,1.240000000000001
1.250000000000001,0.001461505151205476,0.001461505151205476,1.250000000000001,1.250000000000001,1.250000000000001
1.260000000000001,0.001225356206056041,0.001225356206056041,1.260000000000001,1.260000000000001,1.260000000000001
1.270000000000001,0.001021574784116428,0.001021574784116428,1.270000000000001,1.270000000000001,1.270000000000001
1.280000000000001,0.0008470275966939568,0.0008470275966939568,1.280000000000001,1.280000000000001,1.280000000000001
1.290000000000001,0.0006986268624599947,0.0006986268624599947,1.290000000000001,1.290000000000001,1.290000000000001
1.300000000000001,0.000573373813188689,0.000573373813188689,1.300000000000001,1.300000000000001,1.300000000000001
1.310000000000001,0.0004684017848356221,0.0004684017848356221,1.310000000000001,1.310000000000001,1.310000000000001
1.320000000000001,0.0003810154693668483,0.0003810154693668483,1.320000000000001,1.320000000000001,1.320000000000001
1.330000000000001,0.0003087233314598721,0.0003087233314598721,1.330000000000001,1.330000000000001,1.330000000000001
1.340000000000001,0.0002492609977396121,0.0002492609977396121,1.340000000000001,1.340000000000001,1.340000000000001
1.350000000000001,0.0002006044765114297,0.0002006044765114297,1.350000000000001,1.350000000000001,1.350000000000001
1.360000000000001,0.0001609731865942382,0.0001609731865942382,1.360000000000001,1.360000000000001,1.360000000000001
1.370000000000001,0.0001288237815671295,0.0001288237815671295,1.370000000000001,1.370000000000001,1.370000000000001
1.380000000000001,0.000102836503254385,0.000102836503254385,1.380000000000001,1.380000000000001,1.380000000000001
1.390000000000001,8.189620520219587e-05,8.189620520219587e-05,1.390000000000001,1.390000000000001,1.390000000000001
1.400000000000001,6.507024973069234e-05,6.507024973069234e-05,1.400000000000001,1.400000000000001,1.400000000000001
1.410000000000001,5.158526264020834e-05,5.158526264020834e-05,1.410000000000001,1.410000000000001,1.410000000000001
1.420000000000001,4.080432829676347e-05,4.080432829676347e-05,1.420000000000001,1.420000000000001,1.420000000000001
1.430000000000001,3.220573299124053e-05,3.220573299124053e-05,1.430000000000001,1.430000000000001,1.430000000000001
1.440000000000001,2.536390718358515e-05,2.536390718358515e-05,1.440000000000001,1.440000000000001,1.440000000000001
1.450000000000001,1.9932837289658e-05,1.9932837289658e-05,1.450000000000001,1.450000000000001,1.450000000000001
1.460000000000001,1.563194135374386e-05,1.563194135374386e-05,1.460000000000001,1.460000000000001,1.460000000000001
1.470000000000001,1.22342296612951e-05,1.22342296612951e-05,1.470000000000001,1.470000000000001,1.470000000000001
1.480000000000001,9.556483696614256e-06,9.556483696614256e-06,1.480000000000001,1.480000000000001,1.480000000000001
1.490000000000001,7.451160761999113e-06,7.451160761999113e-06,1.490000000000001,1.490000000000001,1.490000000000001
1.500000000000001,5.799743583301093e-06,5.799743583301093e-06,1.500000000000001,1.500000000000001,1.500000000000001
1.510000000000001,4.507285554877554e-06,4.507285554877554e-06,1.510000000000001,1.510000000000001,1.510000000000001
1.520000000000001,3.497940011301205e-06,3.497940011301205e-06,1.520000000000001,1.520000000000001,1.520000000000001
1.530000000000001,2.711298537554729e-06,2.711298537554729e-06,1.530000000000001,1.530000000000001,1.530000000000001
1.540000000000001,2.099395286899923e-06,2.099395286899923e-06,1.540000000000001,1.540000000000001,1.540000000000001
1.550000000000001,1.624260600376654e-06,1.624260600376654e-06,1.550000000000001,1.550000000000001,1.550000000000001
1.560000000000001,1.25592827038847e-06,1.25592827038847e-06,1.560000000000001,1.560000000000001,1.560000000000001
1.570000000000001,9.708174875171847e-07,9.708174875171847e-07,1.570000000000001,1.570000000000001,1.570000000000001
1.580000000000001,7.504238525364446e-07,7.504238525364446e-07,1.580000000000001,1.580000000000001,1.580000000000001
1.590000000000001,5.802646520908782e-07,5.802646520908782e-07,1.590000000000001,1.590000000000001,1.590000000000001
1.600000000000001,4.4903254751684e-07,4.4903254751684e-07,1.600000000000001,1.600000000000001,1.600000000000001
1.610000000000001,3.479193337646438e-07,3.479193337646438e-07,1.610000000000001,1.610000000000001,1.610000000000001
1.620000000000001,2.700778092087841e-07,2.700778092087841e-07,1.620000000000001,1.620000000000001,1.620000000000001
1.630000000000001,2.101952316929225e-07,2.101952316929225e-07,1.630000000000001,1.630000000000001,1.630000000000001
1.640000000000001,1.641564772396336e-07,1.641564772396336e-07,1.640000000000001,1.640000000000001,1.640000000000001
1.650000000000001,1.28778959125079e-07,1.28778959125079e-07,1.650000000000001,1.650000000000001,1.650000000000001
1.660000000000001,1.016046814634481e-07,1.016046814634481e-07,1.660000000000001,1.660000000000001,1.660000000000001
1.670000000000001,8.073758909954994e-08,8.073758909954994e-08,1.670000000000001,1.670000000000001,1.670000000000001
1.680000000000001,6.471668394861739e-08,6.471668394861739e-08,1.680000000000001,1.680000000000001,1.680000000000001
1.690000000000001,5.241727685336809e-08,5.241727685336809e-08,1.690000000000001,1.690000000000001,1.690000000000001
1.700000000000001,4.297430139293325e-08,4.297430139293325e-08,1.700000000000001,1.700000000000001,1.700000000000001
1.710000000000001,3.572287312122291e-08,3.572287312122291e-08,1.710000000000001,1.710000000000001,1.710000000000001
1.720000000000001,3.015229563105358e-08,3.015229563105358e-08,1.720000000000001,1.720000000000001,1.720000000000001
1.730000000000001,2.587052265005177e-08,2.587052265005177e-08,1.730000000000001,1.730000000000001,1.730000000000001
1.740000000000001,2.257673821063147e-08,2.257673821063147e-08,1.740000000000001,1.740000000000001,1.740000000000001
1.750000000000001,2.00402216687061e-08,2.00402216687061e-08,1.750000000000001,1.750000000000001,1.750000000000001
1.760000000000001,1.808407841391291e-08,1.808407841391291e-08,1.760000000000001,1.760000000000001,1.760000000000001
1.770000000000001,1.657272186039301e-08,1.657272186039301e-08,1.770000000000001,1.770000000000001,1.770000000000001
1.780000000000001,1.540225381458148e-08,1.540225381458148e-08,1.780000000000001,1.780000000000001,1.780000000000001
1.790000000000001,1.449307496617993e-08,1.449307496617993e-08,1.790000000000001,1.790000000000001,1.790000000000001
1.8,1.37842116605886e-08,1.37842116605886e-08,1.8,1.8,1.8
